year,month,state_id,gender_id,value,pp_id
2036,March,34,2,557,204
2036,March,4,3,10660,205
2036,March,4,1,5450,206
2036,March,4,2,5210,207
2036,March,19,3,1360,208
2036,March,19,1,746,209
2036,March,19,2,614,210
2036,March,2,3,19741,211
2036,March,2,1,10417,212
2036,March,2,2,9324,213
2036,March,5,3,6762,214
2036,March,5,1,3475,215
2036,March,5,2,3287,216
2036,March,26,3,491,217
2036,March,26,1,260,218
2036,March,26,2,231,219
2036,March,14,3,24272,220
2036,March,14,1,12215,221
2036,March,14,2,12057,222
2036,March,30,3,213,223
2036,March,30,1,114,224
2036,March,30,2,99,225
2036,March,37,3,594566,226
2036,March,37,1,308634,227
2036,March,37,2,285932,228
2036,July,8,3,43831,229
2036,July,8,1,22547,230
2036,July,8,2,21284,231
2036,July,12,3,5481,232
2036,July,12,1,2909,233
2036,July,12,2,2572,234
2036,July,16,3,67324,235
2036,July,16,1,35546,236
2036,July,16,2,31778,237
2036,July,28,3,2482,238
2036,July,28,1,1258,239
2036,July,28,2,1224,240
2036,July,20,3,22733,241
2036,July,20,1,11441,242
2036,July,20,2,11292,243
2036,July,13,3,46675,244
2036,July,13,1,23337,245
2036,July,13,2,23337,246
2036,July,31,3,572,247
2036,July,31,1,299,248
2036,July,31,2,273,249
2036,July,15,3,25870,250
2036,July,15,1,13516,251
2036,July,15,2,12354,252
2036,July,17,3,15284,253
2036,July,17,1,8152,254
2036,July,17,2,7133,255
2036,July,21,3,1579,256
2036,July,21,1,773,257
2036,July,21,2,806,258
2036,July,9,3,10476,259
2036,July,9,1,5422,260
2036,July,9,2,5054,261
2036,July,27,3,1595,262
2036,July,27,1,836,263
2036,July,27,2,759,264
2036,July,18,3,794,265
2036,July,18,1,397,266
2036,July,18,2,397,267
2036,July,22,3,787,268
2036,July,22,1,393,269
2036,July,22,2,394,270
2036,July,6,3,1280,271
2036,July,6,1,632,272
2036,July,6,2,648,273
2036,July,1,3,71462,274
2036,July,1,1,37552,275
2036,July,1,2,33910,276
2036,July,3,3,29840,277
2036,July,3,1,15558,278
2036,July,3,2,14282,279
2036,July,36,3,71,280
2036,July,36,1,37,281
2036,July,36,2,34,282
2036,July,35,3,130,283
2036,July,35,1,85,284
2036,July,35,2,45,285
2036,July,7,3,35803,286
2036,July,7,1,17123,287
2036,July,7,2,18681,288
2036,July,10,3,36671,289
2036,July,10,1,18681,290
2036,July,10,2,17990,291
2036,July,24,3,12877,292
2036,July,24,1,6742,293
2036,July,24,2,6135,294
2036,July,32,3,5026,295
2036,July,32,1,2721,296
2036,July,32,2,2305,297
2036,July,23,3,829,298
2036,July,23,1,447,299
2036,July,23,2,381,300
2036,July,25,3,17207,301
2036,July,25,1,9187,302
2036,July,25,2,8020,303
2036,July,11,3,44964,304
2036,July,11,1,23917,305
2036,July,11,2,21047,306
2036,July,33,3,1473,307
2036,July,33,1,753,308
2036,July,33,2,720,309
2036,July,29,3,26727,310
2036,July,29,1,14308,311
2036,July,29,2,12419,312
2036,July,34,3,2011,313
2036,July,34,1,1710,314
2036,July,34,2,301,315
2036,July,34,3,1404,316
2036,July,34,1,835,317
2036,July,34,2,569,318
2036,July,4,3,10723,319
2036,July,4,1,5482,320
2036,July,4,2,5241,321
2036,July,19,3,1362,322
2036,July,19,1,748,323
2036,July,19,2,615,324
2036,July,2,3,19844,325
2036,July,2,1,10472,326
2036,July,2,2,9372,327
2036,July,5,3,6792,328
2036,July,5,1,3490,329
2036,July,5,2,3302,330
2036,July,26,3,494,331
2036,July,26,1,261,332
2036,July,26,2,232,333
2036,July,14,3,24393,334
2036,July,14,1,12276,335
2036,July,14,2,12117,336
2036,July,30,3,213,337
2036,July,30,1,114,338
2036,July,30,2,99,339
2036,July,37,3,597079,340
2036,July,37,1,309957,341
2036,July,37,2,287122,342
2035,October,8,3,43438,343
2035,October,8,1,22345,344
2035,October,8,2,21094,345
2035,October,12,3,5408,346
2035,October,12,1,2870,347
2035,October,12,2,2537,348
2035,October,16,3,66772,349
2035,October,16,1,35255,350
2035,October,16,2,31518,351
2035,October,28,3,2433,352
2035,October,28,1,1233,353
2035,October,28,2,1200,354
2035,October,20,3,22485,355
2035,October,20,1,11316,356
2035,October,20,2,11169,357
2035,October,13,3,46402,358
2035,October,13,1,23201,359
2035,October,13,2,23201,360
2035,October,31,3,559,361
2035,October,31,1,292,362
2035,October,31,2,267,363
2035,October,15,3,25633,364
2035,October,15,1,13392,365
2035,October,15,2,12240,366
2035,October,17,3,15154,367
2035,October,17,1,8082,368
2035,October,17,2,7072,369
2035,October,21,3,1554,370
2035,October,21,1,761,371
2035,October,21,2,793,372
2035,October,9,3,10381,373
2035,October,9,1,5373,374
2035,October,9,2,5008,375
2035,October,27,3,1563,376
2035,October,27,1,819,377
2035,October,27,2,744,378
2035,October,18,3,788,379
2035,October,18,1,394,380
2035,October,18,2,394,381
2035,October,22,3,782,382
2035,October,22,1,391,383
2035,October,22,2,391,384
2035,October,6,3,1267,385
2035,October,6,1,625,386
2035,October,6,2,642,387
2035,October,1,3,70925,388
2035,October,1,1,37270,389
2035,October,1,2,33655,390
2035,October,3,3,29592,391
2035,October,3,1,15428,392
2035,October,3,2,14163,393
2035,October,36,3,71,394
2035,October,36,1,37,395
2035,October,36,2,34,396
2035,October,35,3,128,397
2035,October,35,1,84,398
2035,October,35,2,44,399
2035,October,7,3,35448,400
2035,October,7,1,16952,401
2035,October,7,2,18495,402
2035,October,10,3,36308,403
2035,October,10,1,18496,404
2035,October,10,2,17812,405
2035,October,24,3,12739,406
2035,October,24,1,6669,407
2035,October,24,2,6069,408
2035,October,32,3,4978,409
2035,October,32,1,2695,410
2035,October,32,2,2283,411
2035,October,23,3,826,412
2035,October,23,1,446,413
2035,October,23,2,380,414
2035,October,25,3,16950,415
2035,October,25,1,9050,416
2035,October,25,2,7900,417
2035,October,11,3,44403,418
2035,October,11,1,23619,419
2035,October,11,2,20784,420
2035,October,33,3,1459,421
2035,October,33,1,746,422
2035,October,33,2,713,423
2035,October,29,3,26421,424
2035,October,29,1,14144,425
2035,October,29,2,12277,426
2035,October,34,3,1886,427
2035,October,34,1,1596,428
2035,October,34,2,290,429
2035,October,34,3,1335,430
2035,October,34,1,794,431
2035,October,34,2,541,432
2035,October,4,3,10579,433
2035,October,4,1,5408,434
2035,October,4,2,5170,435
2035,October,19,3,1356,436
2035,October,19,1,744,437
2035,October,19,2,612,438
2035,October,2,3,19611,439
2035,October,2,1,10349,440
2035,October,2,2,9262,441
2035,October,5,3,6725,442
2035,October,5,1,3456,443
2035,October,5,2,3269,444
2035,October,26,3,489,445
2035,October,26,1,258,446
2035,October,26,2,230,447
2035,October,14,3,24118,448
2035,October,14,1,12138,449
2035,October,14,2,11980,450
2035,October,30,3,212,451
2035,October,30,1,113,452
2035,October,30,2,99,453
2035,October,37,3,591173,454
2035,October,37,1,306841,455
2035,October,37,2,284332,456
2035,March,8,3,43131,457
2035,March,8,1,22187,458
2035,March,8,2,20944,459
2035,March,12,3,5350,460
2035,March,12,1,2840,461
2035,March,12,2,2510,462
2035,March,16,3,66340,463
2035,March,16,1,35026,464
2035,March,16,2,31314,465
2035,March,28,3,2394,466
2035,March,28,1,1213,467
2035,March,28,2,1181,468
2035,March,20,3,22402,469
2035,March,20,1,11274,470
2035,March,20,2,11128,471
2035,March,13,3,46188,472
2035,March,13,1,23094,473
2035,March,13,2,23094,474
2035,March,31,3,549,475
2035,March,31,1,287,476
2035,March,31,2,262,477
2035,March,15,3,25447,478
2035,March,15,1,13295,479
2035,March,15,2,12152,480
2035,March,17,3,15051,481
2035,March,17,1,8027,482
2035,March,17,2,7024,483
2035,March,21,3,1534,484
2035,March,21,1,751,485
2035,March,21,2,783,486
2035,March,9,3,10306,487
2035,March,9,1,5334,488
2035,March,9,2,4972,489
2035,March,27,3,1538,490
2035,March,27,1,806,491
2035,March,27,2,732,492
2035,March,18,3,784,493
2035,March,18,1,392,494
2035,March,18,2,392,495
2035,March,22,3,778,496
2035,March,22,1,389,497
2035,March,22,2,389,498
2035,March,6,3,1257,499
2035,March,6,1,620,500
2035,March,6,2,637,501
2035,March,1,3,70505,502
2035,March,1,1,37049,503
2035,March,1,2,33456,504
2035,March,3,3,29398,505
2035,March,3,1,15327,506
2035,March,3,2,14071,507
2035,March,36,3,71,508
2035,March,36,1,37,509
2035,March,36,2,34,510
2035,March,35,3,127,511
2035,March,35,1,83,512
2035,March,35,2,44,513
2035,March,7,3,35192,514
2035,March,7,1,16830,515
2035,March,7,2,18362,516
2035,March,10,3,36024,517
2035,March,10,1,18352,518
