year,month,state_id,vehicle,fuel,value,vehicle_id
2025,April,14,OMNI BUS (PRIVATE USE),CNG ONLY,2,14
2025,April,14,OMNI BUS (PRIVATE USE),DIESEL,22,15
2025,April,14,OMNI BUS (PRIVATE USE),PETROL,5,16
2025,April,14,OMNI BUS (PRIVATE USE),PETROL/ETHANOL,1,17
2025,April,14,OMNI BUS (PRIVATE USE),PETROL/HYBRID,9,18
2025,April,14,PRIVATE SERVICE VEHICLE,DIESEL,4,32
2025,April,14,ROAD ROLLER,DIESEL,3,258
2025,April,14,THREE WHEELER (GOODS),CNG ONLY,9,110
2025,April,14,THREE WHEELER (GOODS),DIESEL,508,109
2025,April,14,THREE WHEELER (GOODS),ELECTRIC(BOV),126,111
2025,April,14,THREE WHEELER (GOODS),ELECTRIC(BOV),9,111
2025,April,14,THREE WHEELER (PASSENGER),CNG ONLY,542,118
2025,April,14,THREE WHEELER (PASSENGER),DIESEL,1806,119
2025,April,14,THREE WHEELER (PASSENGER),ELECTRIC(BOV),111,120
2025,April,14,THREE WHEELER (PASSENGER),ELECTRIC(BOV),193,120
2025,April,14,TRACTOR (COMMERCIAL),DIESEL,515,224
2025,April,14,TRAILER (COMMERCIAL),NOT APPLICABLE,1,238
2025,April,14,VEHICLE FITTED WITH RIG,DIESEL,1,273
2025,April,26,AGRICULTURAL TRACTOR,DIESEL,1,276
2025,April,26,AMBULANCE,DIESEL,3,294
2025,April,26,BUS,DIESEL,163,1
2025,April,26,CAMPER VAN / TRAILER (PRIVATE USE),DIESEL,1,169
2025,April,26,CONSTRUCTION EQUIPMENT VEHICLE,DIESEL,1,240
2025,April,26,CONSTRUCTION EQUIPMENT VEHICLE (COMMERCIAL),DIESEL,53,245
2025,April,26,DUMPER,DIESEL,51,234
2025,April,26,EARTH MOVING EQUIPMENT,DIESEL,1,248
2025,April,26,EXCAVATOR (COMMERCIAL),DIESEL,5,255
2025,April,26,EXCAVATOR (NT),DIESEL,3,251
2025,April,26,GOODS CARRIER,DIESEL,154,182
2025,April,26,GOODS CARRIER,PETROL,18,183
2025,April,26,M-CYCLE/SCOOTER,ELECTRIC(BOV),3,77
2025,April,26,M-CYCLE/SCOOTER,PETROL,1168,78
2025,April,26,M-CYCLE/SCOOTER,PETROL/ETHANOL,226,79
2025,April,26,M-CYCLE/SCOOTER,ELECTRIC(BOV),5,77
2025,April,26,M-CYCLE/SCOOTER-WITH SIDE CAR,PETROL,1,96
2025,April,26,MAXI CAB,PETROL,2,61
2025,April,26,MOTOR CAB,DIESEL,10,48
2025,April,26,MOTOR CAB,PETROL,2,49
2025,April,26,MOTOR CAB,PETROL/HYBRID,2,50
2025,April,26,MOTOR CAR,DIESEL,431,152
2025,April,26,MOTOR CAR,DIESEL/HYBRID,1,157
2025,April,26,MOTOR CAR,PETROL,715,153
2025,April,26,MOTOR CAR,PETROL/CNG,1,158
2025,April,26,MOTOR CAR,PETROL/ETHANOL,95,154
2025,April,26,MOTOR CAR,PETROL/HYBRID,115,155
2025,April,26,MOTOR CAR,ELECTRIC(BOV),3,156
2025,April,26,MOTOR CAR,PETROL/HYBRID,10,155
2025,April,26,OMNI BUS (PRIVATE USE),DIESEL,2,15
2025,April,26,PRIVATE SERVICE VEHICLE (INDIVIDUAL USE),DIESEL,1,40
2025,April,26,THREE WHEELER (PASSENGER),PETROL,8,117
2025,April,26,TRACTOR (COMMERCIAL),DIESEL,45,224
2025,April,26,TRACTOR-TROLLEY(COMMERCIAL),NOT APPLICABLE,6,231
2025,April,26,TRAILER (COMMERCIAL),NOT APPLICABLE,1,238
2025,April,5,AGRICULTURAL TRACTOR,DIESEL,57,276
2025,April,5,AMBULANCE,DIESEL,13,294
2025,April,5,AMBULANCE,PETROL,3,295
2025,April,5,ARMOURED/SPECIALISED VEHICLE,DIESEL,1,323
2025,April,5,ARTICULATED VEHICLE,DIESEL,5,216
2025,April,5,BUS,DIESEL,143,1
2025,April,5,CAMPER VAN / TRAILER,DIESEL,3,164
2025,April,5,CASH VAN,DIESEL,2,195
2025,April,5,CONSTRUCTION EQUIPMENT VEHICLE,DIESEL,49,240
